Q= 0.672681, q=0.678742, err=0.00303032, tol=0.000167268, nrec=0
Q= 0.237829, q=0.239971, err=0.00107138, tol=9.44935e-05, nrec=1
Q= 0.0840851, q=0.0848427, err=0.00037879, tol=5.84085e-05, nrec=2
Q= 0.0297286, q=0.0299964, err=0.000133922, tol=3.83282e-05, nrec=3
Q= 0.0105106, q=0.0106053, err=4.73487e-05, tol=2.60511e-05, nrec=4
Q= 0.00371607, q=0.00374955, err=1.67403e-05, tol=1.80493e-05, nrec=5
Accepted
Q= 0.00673405, q=0.00673937, err=2.66204e-06, tol=1.83511e-05, nrec=5
Accepted
Q= 0.0190468, q=0.0190618, err=7.52939e-06, tol=2.69047e-05, nrec=4
Accepted
Q= 0.0538724, q=0.053915, err=2.12963e-05, tol=4.07426e-05, nrec=3
Accepted
Q= 0.152374, q=0.152495, err=6.02351e-05, tol=6.52374e-05, nrec=2
Accepted
Q= 0.430979, q=0.43132, err=0.000170371, tol=0.000113809, nrec=1
Q= 0.197311, q=0.197367, err=2.76428e-05, tol=6.97311e-05, nrec=2
Accepted
Q= 0.233654, q=0.233687, err=1.66303e-05, tol=7.33654e-05, nrec=2
Accepted
Q= 1.67444, q=1.62543, err=0.0245058, tol=0.000267444, nrec=0
Q= 1.18401, q=1.14935, err=0.0173282, tol=0.000189112, nrec=1
Q= 0.837222, q=0.812716, err=0.0122529, tol=0.000133722, nrec=2
Q= 0.592005, q=0.574677, err=0.00866411, tol=9.45559e-05, nrec=3
Q= 0.418611, q=0.406358, err=0.00612645, tol=6.68611e-05, nrec=4
Q= 0.296003, q=0.287339, err=0.00433205, tol=4.72779e-05, nrec=5
Q= 0.209306, q=0.203179, err=0.00306322, tol=3.34306e-05, nrec=6
Q= 0.148001, q=0.143669, err=0.00216603, tol=2.3639e-05, nrec=7
Q= 0.104653, q=0.10159, err=0.00153161, tol=1.67153e-05, nrec=8
Q= 0.0740007, q=0.0718347, err=0.00108301, tol=1.18195e-05, nrec=9
Q= 0.0523264, q=0.0507948, err=0.000765806, tol=8.35764e-06, nrec=10
Q= 0.0370003, q=0.0359173, err=0.000541507, tol=5.90974e-06, nrec=11
Q= 0.0261632, q=0.0253974, err=0.000382903, tol=4.17882e-06, nrec=12
Q= 0.0185002, q=0.0179587, err=0.000270753, tol=2.95487e-06, nrec=13
Q= 0.0130816, q=0.0126987, err=0.000191452, tol=2.08941e-06, nrec=14
Q= 0.00925008, q=0.00897933, err=0.000135377, tol=1.47744e-06, nrec=15
Q= 0.0065408, q=0.00634935, err=9.57258e-05, tol=1.0447e-06, nrec=16
Q= 0.00462504, q=0.00448967, err=6.76883e-05, tol=7.38718e-07, nrec=17
Q= 0.0032704, q=0.00317467, err=4.78629e-05, tol=5.22352e-07, nrec=18
Q= 0.00231252, q=0.00224483, err=3.38442e-05, tol=3.69359e-07, nrec=19
Q= 0.0016352, q=0.00158734, err=2.39314e-05, tol=2.61176e-07, nrec=20
Q= 0.00115626, q=0.00112242, err=1.69221e-05, tol=1.84679e-07, nrec=21
Q= 0.0008176, q=0.000793668, err=1.19657e-05, tol=1.30588e-07, nrec=22
Q= 0.00057813, q=0.000561208, err=8.46104e-06, tol=9.23397e-08, nrec=23
Q= 0.0004088, q=0.000396834, err=5.98286e-06, tol=6.5294e-08, nrec=24
